dataset,threshold,number_of_shapelets,mode of cancellation,inverted,cnn_train_confidence,cnn_test_confidence,ls_train_confidence,ls_test_confidence,rand_train_confidence,rand_test_confidence,avg_total_area_size_cnn,avg_total_area_size_ls,avg_total_area_size_rand
GunPoint,0.9,3.0,linear,False,0.9997632753097924,0.9591107600019497,0.9981388166517409,0.9516307836274596,0.9995146773591422,,34.445,33.0,33.0
GunPoint,0.9,3.0,mean,False,0.9996166517428544,0.9567504573440284,0.8923001007029429,0.8897772542330752,0.91974436434115,,34.445,33.0,33.0
GunPoint,0.9,3.0,zero,True,0.49999998569488524,0.48666670331117257,0.5199996241113646,0.4933342893383612,0.5199999999999981,,34.445,33.0,33.0
GunPoint,0.9,3.0,linear,True,0.7776779354168537,0.6988661402182388,0.848283211666134,0.7179304522676156,0.7924483141291785,,34.445,33.0,33.0
GunPoint,0.9,3.0,mean,True,0.5202601604163647,0.5344834177421096,0.5276984959840775,0.5741803245531294,0.636631176834926,,34.445,33.0,33.0
GunPoint,0.9,4.0,zero,False,0.610647292141584,0.639201158298266,0.5198536547704398,0.5375099471907606,0.5422077647086717,,34.445,32.0,32.0
GunPoint,0.9,4.0,linear,False,0.9997632753097924,0.9591107600019497,0.9913520357033493,0.9548871644717657,0.99245710298851,,34.445,32.0,32.0
GunPoint,0.9,4.0,mean,False,0.9996166517428544,0.9567504573440284,0.9512785297502523,0.8788997746914429,0.9052533595380773,,34.445,32.0,32.0
GunPoint,0.9,4.0,zero,True,0.49999998569488524,0.48666670331117257,0.52,0.493333333474699,0.52,,34.445,32.0,32.0
GunPoint,0.9,4.0,linear,True,0.7776779354168537,0.6988661402182388,0.5331189657592972,0.7724946686594251,0.7626908684825059,,34.445,32.0,32.0
GunPoint,0.9,4.0,mean,True,0.5202601604163647,0.5344834177421096,0.48037815690040586,0.5687879404520694,0.569050115882419,,34.445,32.0,32.0
