dataset,threshold,number_of_shapelets,mode of cancellation,inverted,cnn_train_confidence,cnn_test_confidence,ls_train_confidence,ls_test_confidence
GunPoint,0.9,5.0,zero,True,0.48422174792982986,0.46575715863766254,0.5200000000000006,0.49333333333333285
GunPoint,0.9,5.0,linear,True,0.6654815409048416,0.5555017678924545,0.536229047843198,0.5478909880890293
GunPoint,0.9,5.0,mean,True,0.7105360004114198,0.6583392241280506,0.5222731161569596,0.535602243129887
GunPoint,0.7,1.0,zero,False,0.5649889008745856,0.5579776591829062,0.5364060882239643,0.4912272289596311
GunPoint,0.7,1.0,linear,False,0.9963051458235906,0.9483115798676106,0.8671962620109722,0.7871617571058744
GunPoint,0.7,1.0,mean,False,0.9631237689534623,0.9023463831371001,0.9484743580084217,0.8404538379294296
GunPoint,0.7,1.0,zero,True,0.5347050937270206,0.5069672767651798,0.4887615835524345,0.47865831774025636
GunPoint,0.7,1.0,linear,True,0.7790105278592697,0.6698847007465016,0.5959547112289714,0.5395939687425302
GunPoint,0.7,1.0,mean,True,0.7574801117351379,0.6943829929662828,0.554277028485958,0.5927655382425837
GunPoint,0.7,2.0,zero,False,0.5649889008745856,0.5579776591829062,0.5593660954049046,0.46902041844280784
GunPoint,0.7,2.0,linear,False,0.9963051458235906,0.9483115798676106,0.9984726288534521,0.95960826156865
GunPoint,0.7,2.0,mean,False,0.9631237689534623,0.9023463831371001,0.9456840387072415,0.8558039183238308
GunPoint,0.7,2.0,zero,True,0.5347050937270206,0.5069672767651798,0.5200067166290068,0.4933878022989946
GunPoint,0.7,2.0,linear,True,0.7790105278592697,0.6698847007465016,0.7210150417672425,0.5565460999286469
GunPoint,0.7,2.0,mean,True,0.7574801117351379,0.6943829929662828,0.5673474496183917,0.5479750698785938
GunPoint,0.7,3.0,zero,False,0.5649889008745856,0.5579776591829062,0.4375899329998306,0.39911381050454997
GunPoint,0.7,3.0,linear,False,0.9963051458235906,0.9483115798676106,0.9425060888241937,0.886829733126998
GunPoint,0.7,3.0,mean,False,0.9631237689534623,0.9023463831371001,0.7077327110347329,0.6782935029931434
GunPoint,0.7,3.0,zero,True,0.5347050937270206,0.5069672767651798,0.52,0.4933333333333333
GunPoint,0.7,3.0,linear,True,0.7790105278592697,0.6698847007465016,0.5325180188509977,0.48610697246130563
GunPoint,0.7,3.0,mean,True,0.7574801117351379,0.6943829929662828,0.48023129343986515,0.5068372257550557
GunPoint,0.7,4.0,zero,False,0.5649889008745856,0.5579776591829062,0.47136806875731474,0.44362101284816235
GunPoint,0.7,4.0,linear,False,0.9963051458235906,0.9483115798676106,0.9955617129110106,0.9209855672595291
GunPoint,0.7,4.0,mean,False,0.9631237689534623,0.9023463831371001,0.842032345814665,0.8262993670421418
GunPoint,0.7,4.0,zero,True,0.5347050937270206,0.5069672767651798,0.52,0.4933333333333333
GunPoint,0.7,4.0,linear,True,0.7790105278592697,0.6698847007465016,0.7844148543766245,0.6951622101821429
GunPoint,0.7,4.0,mean,True,0.7574801117351379,0.6943829929662828,0.4844935059547424,0.506980398495992
GunPoint,0.7,5.0,zero,False,0.5649889008745856,0.5579776591829062,0.4692077367059637,0.4214908440953583
GunPoint,0.7,5.0,linear,False,0.9963051458235906,0.9483115798676106,0.9978486694671125,0.9243695435381858
GunPoint,0.7,5.0,mean,False,0.9631237689534623,0.9023463831371001,0.9103327283284701,0.831050036049946
GunPoint,0.7,5.0,zero,True,0.5347050937270206,0.5069672767651798,0.5200000000000002,0.4933333333333333
GunPoint,0.7,5.0,linear,True,0.7790105278592697,0.6698847007465016,0.6863403885414541,0.8011084221590236
GunPoint,0.7,5.0,mean,True,0.7574801117351379,0.6943829929662828,0.49035154342651366,0.5109772570927937
GunPoint,0.5,1.0,zero,False,0.5202863154778166,0.49474416781832364,0.49353341909327875,0.4846052198807217
GunPoint,0.5,1.0,linear,False,0.9401610481193273,0.9041746239210456,0.8057900580018563,0.7233164259516467
GunPoint,0.5,1.0,mean,False,0.8748747798999114,0.8197795400724257,0.8012099971344013,0.7949493791639148
GunPoint,0.5,1.0,zero,True,0.6574242439975557,0.5863648597404832,0.7264213494977504,0.6018513298789803
GunPoint,0.5,1.0,linear,True,0.9004627607059271,0.8031896856866605,0.930900857053593,0.8374263532350932
GunPoint,0.5,1.0,mean,True,0.7570526524223696,0.7160055920969632,0.7936025158563292,0.6613241948278044
GunPoint,0.5,2.0,zero,False,0.5202863154778166,0.49474416781832364,0.5865025038435441,0.5659141759376116
GunPoint,0.5,2.0,linear,False,0.9401610481193273,0.9041746239210456,0.9588911438404155,0.8463063039945762
